Epoch 1, loss 0.5629588270845176
	Saved ./examples/output/buddy\epoch_00001.png
Epoch 2, loss 0.521305344184644
Epoch 3, loss 0.4754784889344701
Epoch 4, loss 0.43726412058222536
Epoch 5, loss 0.40200892490098644
Epoch 6, loss 0.37811195875104314
Epoch 7, loss 0.36055759749297867
Epoch 8, loss 0.3436015121975241
Epoch 9, loss 0.32276689246387125
Epoch 10, loss 0.30750281172131677
Epoch 11, loss 0.2924425103606608
Epoch 12, loss 0.2786119543727755
Epoch 13, loss 0.26628649985519603
Epoch 14, loss 0.2531552149945091
Epoch 15, loss 0.24210417377877222
Epoch 16, loss 0.23059963165718844
Epoch 17, loss 0.2198591720187986
Epoch 18, loss 0.21087558860383407
Epoch 19, loss 0.2033463798970624
Epoch 20, loss 0.19561817934870906
Epoch 21, loss 0.1878364095434913
Epoch 22, loss 0.18035989763459517
Epoch 23, loss 0.1735153719777344
Epoch 24, loss 0.1670710775986954
Epoch 25, loss 0.1609984514856901
Epoch 26, loss 0.1557632650703072
Epoch 27, loss 0.15214881977529715
Epoch 28, loss 0.14751495908954315
Epoch 29, loss 0.1426301689278064
Epoch 30, loss 0.1387364447381776
Epoch 31, loss 0.1349273605475904
Epoch 32, loss 0.13117346242852945
Epoch 33, loss 0.12921213892807903
Epoch 34, loss 0.12479572897054389
Epoch 35, loss 0.12279707796369017
Epoch 36, loss 0.12004339033854208
Epoch 37, loss 0.11757848235461762
Epoch 38, loss 0.11522848338196731
Epoch 39, loss 0.11332572142685268
Epoch 40, loss 0.11102836813664914
Epoch 41, loss 0.10944653992834308
Epoch 42, loss 0.10805466054529934
Epoch 43, loss 0.10588014181633815
Epoch 44, loss 0.10386694187352108
Epoch 45, loss 0.10292731266980143
Epoch 46, loss 0.10175431994824607
Epoch 47, loss 0.1004381835315665
Epoch 48, loss 0.09931429449653245
Epoch 49, loss 0.09858681919595289
Epoch 50, loss 0.09627913284539312
Epoch 51, loss 0.09645973960697554
Epoch 52, loss 0.09397688144953868
Epoch 53, loss 0.09296937629426508
Epoch 54, loss 0.09197769853444392
Epoch 55, loss 0.09144656197665516
Epoch 56, loss 0.09034718295312041
Epoch 57, loss 0.08888747811856275
Epoch 58, loss 0.0886261580546972
Epoch 59, loss 0.08794964576633663
Epoch 60, loss 0.08739566770216052
Epoch 61, loss 0.0856669414815809
Epoch 62, loss 0.08611129674990373
Epoch 63, loss 0.08482177001045443
Epoch 64, loss 0.08458893341843549
Epoch 65, loss 0.08406965346543134
Epoch 66, loss 0.08393741133065188
Epoch 67, loss 0.08258168748420225
Epoch 68, loss 0.08272208550143499
Epoch 69, loss 0.08290012825697435
Epoch 70, loss 0.08121857448535295
Epoch 71, loss 0.08108219963939337
Epoch 72, loss 0.08024398429274252
Epoch 73, loss 0.08043010330186487
Epoch 74, loss 0.07989610002590941
Epoch 75, loss 0.0789157926858658
Epoch 76, loss 0.07906365294993034
Epoch 77, loss 0.07891910531892318
Epoch 78, loss 0.07785980282257413
Epoch 79, loss 0.07793302811124225
Epoch 80, loss 0.07702282141103323
Epoch 81, loss 0.07631229828286938
Epoch 82, loss 0.07697220365979623
Epoch 83, loss 0.07578232559935019
Epoch 84, loss 0.07564495861468704
Epoch 85, loss 0.07589581213138447
Epoch 86, loss 0.07460348210620843
Epoch 87, loss 0.0752066512402962
Epoch 88, loss 0.07339977486094276
Epoch 89, loss 0.07425401861571646
Epoch 90, loss 0.07336857717612597
Epoch 91, loss 0.07360536152334765
Epoch 92, loss 0.07311374795166731
Epoch 93, loss 0.07341357975000502
Epoch 94, loss 0.07187545292810679
Epoch 95, loss 0.07250852014508882
Epoch 96, loss 0.07149731763794781
Epoch 97, loss 0.07238814298304724
Epoch 98, loss 0.07207447623946295
Epoch 99, loss 0.07185555389184245
Epoch 100, loss 0.07061262454631927
	Saved ./examples/output/buddy\epoch_00100.png
Epoch 101, loss 0.07109406801906391
Epoch 102, loss 0.07056801004707713
Epoch 103, loss 0.07091137604593548
Epoch 104, loss 0.06943193783086624
Epoch 105, loss 0.0702880105123141
Epoch 106, loss 0.06943813413256508
Epoch 107, loss 0.06933584982621646
Epoch 108, loss 0.06943064093788626
Epoch 109, loss 0.06941232328641922
Epoch 110, loss 0.06867624923293567
Epoch 111, loss 0.06948360933288711
Epoch 112, loss 0.06855208076548666
Epoch 113, loss 0.06866540966306356
Epoch 114, loss 0.06842088914384628
Epoch 115, loss 0.0679218658530759
Epoch 116, loss 0.06859850361201139
Epoch 117, loss 0.06764532252095773
Epoch 118, loss 0.06778412010794876
Epoch 119, loss 0.06721043492363354
Epoch 120, loss 0.0673867795292091
Epoch 121, loss 0.06755300029386577
Epoch 122, loss 0.0670790922737304
Epoch 123, loss 0.0671359634800687
Epoch 124, loss 0.06656611911431878
Epoch 125, loss 0.06729947843903006
Epoch 126, loss 0.06627285447849379
Epoch 127, loss 0.06656751336515088
Epoch 128, loss 0.0660534064807951
Epoch 129, loss 0.0666491184228531
Epoch 130, loss 0.06588918123408921
Epoch 131, loss 0.06698269357647174
Epoch 132, loss 0.06604265177560958
Epoch 133, loss 0.0659554050762497
Epoch 134, loss 0.06544422851180838
Epoch 135, loss 0.06556978143753153
Epoch 136, loss 0.06531229704724675
Epoch 137, loss 0.06530693550300103
Epoch 138, loss 0.06505592702815063
Epoch 139, loss 0.06506525220774258
Epoch 140, loss 0.06458722473375328
Epoch 141, loss 0.06464200139502399
Epoch 142, loss 0.06480936695973447
Epoch 143, loss 0.06481892125994623
Epoch 144, loss 0.06417545195773067
Epoch 145, loss 0.06398406834860382
Epoch 146, loss 0.0639598646908709
Epoch 147, loss 0.0644994875998901
Epoch 148, loss 0.06368226582457351
Epoch 149, loss 0.06373010923674902
Epoch 150, loss 0.06423431559787632
Epoch 151, loss 0.06329775572442414
Epoch 152, loss 0.0638160960879647
Epoch 153, loss 0.06279013963500832
Epoch 154, loss 0.06344074223490925
Epoch 155, loss 0.06321608450482885
Epoch 156, loss 0.06296267120248657
Epoch 157, loss 0.06396947436550263
Epoch 158, loss 0.06311229820734615
Epoch 159, loss 0.06411128835958171
Epoch 160, loss 0.06341513473595162
Epoch 161, loss 0.06351578231966991
Epoch 162, loss 0.06311237321856508
Epoch 163, loss 0.06340901334694354
Epoch 164, loss 0.06377041814393525
Epoch 165, loss 0.0636905215636405
Epoch 166, loss 0.06327326106743712
Epoch 167, loss 0.06294152318680316
Epoch 168, loss 0.06314059002206336
Epoch 169, loss 0.06204601058514393
Epoch 170, loss 0.06265477917610732
Epoch 171, loss 0.06201915931725782
Epoch 172, loss 0.06181474503901403
Epoch 173, loss 0.06253475947528915
Epoch 174, loss 0.06239487553381988
Epoch 175, loss 0.062368147108481514
Epoch 176, loss 0.062077034313506016
Epoch 177, loss 0.06228976695365543
Epoch 178, loss 0.0619882432541559
Epoch 179, loss 0.06192370326385373
Epoch 180, loss 0.061937994120732545
Epoch 181, loss 0.06084013398209556
Epoch 182, loss 0.0612965178039377
Epoch 183, loss 0.06079191771775254
Epoch 184, loss 0.060955140657036264
Epoch 185, loss 0.060870744237471255
Epoch 186, loss 0.06090910171177363
Epoch 187, loss 0.06065366268635994
Epoch 188, loss 0.06077576421477846
Epoch 189, loss 0.06024830397921208
Epoch 190, loss 0.05972522065113091
Epoch 191, loss 0.05959888925359806
Epoch 192, loss 0.06047414129759757
Epoch 193, loss 0.06009682735110798
Epoch 194, loss 0.06003523979111658
Epoch 195, loss 0.05953369518316634
Epoch 196, loss 0.05968219408407534
Epoch 197, loss 0.05952225757111396
Epoch 198, loss 0.06001523368811683
Epoch 199, loss 0.05990336482264703
Epoch 200, loss 0.05891950876261813
	Saved ./examples/output/buddy\epoch_00200.png
Epoch 201, loss 0.05984581150803957
Epoch 202, loss 0.05983579833810296
Epoch 203, loss 0.05966295607316871
Epoch 204, loss 0.059532804502343065
Epoch 205, loss 0.05929337014683088
Epoch 206, loss 0.05900653618765547
Epoch 207, loss 0.058591568667941005
Epoch 208, loss 0.05867544180480142
Epoch 209, loss 0.058835403996408756
Epoch 210, loss 0.05903677301113755
Epoch 211, loss 0.05837667008426903
Epoch 212, loss 0.05870731801613688
Epoch 213, loss 0.05774474801989765
Epoch 214, loss 0.05746471235777391
Epoch 215, loss 0.05813274979511668
Epoch 216, loss 0.0572469903142208
Epoch 217, loss 0.057540353967338725
Epoch 218, loss 0.05739241174322589
Epoch 219, loss 0.057265330925683824
Epoch 220, loss 0.0573157092814532
Epoch 221, loss 0.05685608824638713
Epoch 222, loss 0.05782425170149961
Epoch 223, loss 0.057901180627874665
Epoch 224, loss 0.056643552774874636
Epoch 225, loss 0.05715649614803077
Epoch 226, loss 0.057333382078916306
Epoch 227, loss 0.05690394379303185
Epoch 228, loss 0.05745409902165062
Epoch 229, loss 0.05671660728272507
Epoch 230, loss 0.05762749370094955
Epoch 231, loss 0.05678684878141553
Epoch 232, loss 0.05708209176809789
Epoch 233, loss 0.05695215318420942
Epoch 234, loss 0.056627382772775445
Epoch 235, loss 0.05750466623950448
Epoch 236, loss 0.05717826321004264
Epoch 237, loss 0.056268649794290054
Epoch 238, loss 0.056540840183658944
Epoch 239, loss 0.056503564331817614
Epoch 240, loss 0.05592762341733688
Epoch 241, loss 0.056469409935060846
Epoch 242, loss 0.056135773452551205
Epoch 243, loss 0.05602300527824744
Epoch 244, loss 0.05594406869805475
Epoch 245, loss 0.056605677930253354
Epoch 246, loss 0.055869708708627064
Epoch 247, loss 0.05630309238128445
Epoch 248, loss 0.05580075534203757
Epoch 249, loss 0.055831030077193186
Epoch 250, loss 0.056842052554215074
Epoch 251, loss 0.055831385865300176
Epoch 252, loss 0.05633480835144433
Epoch 253, loss 0.05515970101199828
Epoch 254, loss 0.05611603608780991
Epoch 255, loss 0.0557667211947248
Epoch 256, loss 0.05537856047733626
Epoch 257, loss 0.05569413875134835
Epoch 258, loss 0.05560872755312274
Epoch 259, loss 0.05582099381293669
Epoch 260, loss 0.055584504673917554
Epoch 261, loss 0.05543239229466014
Epoch 262, loss 0.055180818035287044
Epoch 263, loss 0.055491667466203105
Epoch 264, loss 0.055046222581169896
Epoch 265, loss 0.05506109046008943
Epoch 266, loss 0.05500726388639554
Epoch 267, loss 0.05535202905879692
Epoch 268, loss 0.05518547094706672
Epoch 269, loss 0.054624735165850286
Epoch 270, loss 0.055247126757766926
Epoch 271, loss 0.055216105988753796
Epoch 272, loss 0.05486721078244878
Epoch 273, loss 0.05512935521317805
Epoch 274, loss 0.05499749710051053
Epoch 275, loss 0.05516398620510088
Epoch 276, loss 0.055575238864764814
Epoch 277, loss 0.054981075897348644
Epoch 278, loss 0.054541916328418545
Epoch 279, loss 0.055404681068046385
Epoch 280, loss 0.054748415537567194
Epoch 281, loss 0.05463187712413287
Epoch 282, loss 0.05458598693402951
Epoch 283, loss 0.05457011595023488
Epoch 284, loss 0.054264329934809674
Epoch 285, loss 0.05464038363000728
Epoch 286, loss 0.054506347559804894
Epoch 287, loss 0.054358969958881995
Epoch 288, loss 0.05401214869927247
Epoch 289, loss 0.054793777618478146
Epoch 290, loss 0.054360869159640765
Epoch 291, loss 0.05464204597393656
Epoch 292, loss 0.05433580397832944
Epoch 293, loss 0.05449399733703065
Epoch 294, loss 0.05440428200599712
Epoch 295, loss 0.05470826751918606
Epoch 296, loss 0.05492199360579714
Epoch 297, loss 0.053604525884462614
