Epoch 1, loss 0.649023371965509
	Saved ./examples/output/cat\epoch_00001.png
Epoch 2, loss 0.6208669957035018
Epoch 3, loss 0.5785391329192267
Epoch 4, loss 0.5348885657440006
Epoch 5, loss 0.5001055811594377
Epoch 6, loss 0.476612304947907
Epoch 7, loss 0.45587351850656455
Epoch 8, loss 0.43478287065782106
Epoch 9, loss 0.41407538810530603
Epoch 10, loss 0.3919407213823696
Epoch 11, loss 0.3710255110322849
Epoch 12, loss 0.353260230869733
Epoch 13, loss 0.33764070335460616
Epoch 14, loss 0.3219441701727338
Epoch 15, loss 0.30428746065478396
Epoch 16, loss 0.28872572967130605
Epoch 17, loss 0.2748843429768636
Epoch 18, loss 0.262216799949891
Epoch 19, loss 0.25163848190164007
Epoch 20, loss 0.23971568287046702
Epoch 21, loss 0.22836847884174855
Epoch 22, loss 0.21886237973960368
Epoch 23, loss 0.20975316255068266
Epoch 24, loss 0.20209738824851398
Epoch 25, loss 0.19518747015814966
Epoch 26, loss 0.18935928425319754
Epoch 27, loss 0.18393488245244316
Epoch 28, loss 0.17851357005884527
Epoch 29, loss 0.17373920812324972
Epoch 30, loss 0.16903773015756224
Epoch 31, loss 0.16484659708043564
Epoch 32, loss 0.1609288880080852
Epoch 33, loss 0.15704078539556682
Epoch 34, loss 0.1530828135978493
Epoch 35, loss 0.14985455293035155
Epoch 36, loss 0.14743857292541146
Epoch 37, loss 0.14552087031418184
Epoch 38, loss 0.1428738997976899
Epoch 39, loss 0.14010029472362773
Epoch 40, loss 0.1379586074760589
Epoch 41, loss 0.13631953302822047
Epoch 42, loss 0.13463590235516312
Epoch 43, loss 0.13311364496459682
Epoch 44, loss 0.13172160173732542
Epoch 45, loss 0.13004637734620905
Epoch 46, loss 0.12866681998003357
Epoch 47, loss 0.12739509255936868
Epoch 48, loss 0.12600119066884674
Epoch 49, loss 0.12471578207557302
Epoch 50, loss 0.12364345764442485
	Saved ./examples/output/cat\epoch_00050.png
Epoch 51, loss 0.12247601312372675
Epoch 52, loss 0.12146997861156385
Epoch 53, loss 0.12101983169338397
Epoch 54, loss 0.12032085087265709
Epoch 55, loss 0.11971606652852099
Epoch 56, loss 0.11915588631613097
Epoch 57, loss 0.11824721927234622
Epoch 58, loss 0.11771236826335152
Epoch 59, loss 0.1171596149309059
Epoch 60, loss 0.11662669412434695
Epoch 61, loss 0.11607513199935135
Epoch 62, loss 0.11544664271955644
Epoch 63, loss 0.11491061949897875
Epoch 64, loss 0.1145343907556401
Epoch 65, loss 0.11389910913194404
Epoch 66, loss 0.11330219659863877
Epoch 67, loss 0.11283971032340367
Epoch 68, loss 0.11246043324603527
Epoch 69, loss 0.11185834050571447
Epoch 70, loss 0.11144174206042995
Epoch 71, loss 0.11083201161426273
Epoch 72, loss 0.11040769090723394
Epoch 73, loss 0.10952240937324229
Epoch 74, loss 0.10923340329551143
Epoch 75, loss 0.10865094422564783
Epoch 76, loss 0.10848396306367916
Epoch 77, loss 0.10770548728899992
Epoch 78, loss 0.1072299140893412
Epoch 79, loss 0.10703188077988812
Epoch 80, loss 0.10631039767112074
Epoch 81, loss 0.10619808833546437
Epoch 82, loss 0.10601859707273073
Epoch 83, loss 0.10503601676100349
Epoch 84, loss 0.10479968152568392
Epoch 85, loss 0.1041259826954329
Epoch 86, loss 0.10450184277370252
Epoch 87, loss 0.10416896260597636
Epoch 88, loss 0.10402571378425271
Epoch 89, loss 0.10289317236962825
Epoch 90, loss 0.10304013077439922
Epoch 91, loss 0.10281700654739154
Epoch 92, loss 0.10218107467287163
Epoch 93, loss 0.10220689837498426
Epoch 94, loss 0.10181600001738886
Epoch 95, loss 0.10141906745875887
Epoch 96, loss 0.10145901673390903
Epoch 97, loss 0.10083962272242103
Epoch 98, loss 0.100477497256482
Epoch 99, loss 0.10049049569115279
Epoch 100, loss 0.10045557355434627
	Saved ./examples/output/cat\epoch_00100.png
Epoch 101, loss 0.10014379906113942
Epoch 102, loss 0.10006099586720357
Epoch 103, loss 0.10005644720892261
Epoch 104, loss 0.09912349951213752
Epoch 105, loss 0.09913108366402812
Epoch 106, loss 0.09931156801188532
Epoch 107, loss 0.09880979734577885
Epoch 108, loss 0.0985054453529774
Epoch 109, loss 0.09871733366167115
Epoch 110, loss 0.09786768000081275
Epoch 111, loss 0.09820949152709266
Epoch 112, loss 0.09811214318183072
Epoch 113, loss 0.09795448420551153
Epoch 114, loss 0.09759636962758601
Epoch 115, loss 0.09762867529520841
Epoch 116, loss 0.09721615279037703
Epoch 117, loss 0.09720876702354804
Epoch 118, loss 0.09687808578646612
Epoch 119, loss 0.09659354383405339
Epoch 120, loss 0.0963698517295626
Epoch 121, loss 0.09632952659321567
Epoch 122, loss 0.09613485423668548
Epoch 123, loss 0.09636803739289805
